Titre,Est_Predateur
Studia Paradyskie,0
Organogenesis,0
International Journal of Advanced Research in Engineering & Management,1
Innovations in Pharmaceuticals and Pharmacotherapy,1
MGM Journal of Medical Sciences,0
Oceanological and Hydrobiological Studies,0
SmatPub,1
Aging Medicine and Healthcare,0
Conci,0
International Journal of New Innovations in Engineering and Technology,1
International Journal of New Technologies in Science and Engineering,1
Medwell Journals,1
Infectious Diseases and Therapy,0
TAF Publishing,1
International Journal of Advanced Research in Science and Technology,1
Vernon Innovative Publishers,1
Cuadernos del Hipogrifo,0
Scholar Journals [Link dead as of 2013-04-20],1
International Journal of Engineering Research & Management,1
Kriminologie - Das Online-Journal,0
Vegetation Ecology and Diversity,0
Universal Research Publications,1
Academic and Scientific Publishing,1
Euclid,0
Düzce Üniversitesi Teknik Bilimler Dergisi,0
Textures,0
Revista Científica Anfibios,0
EPH Journal/Engineers Publication House,1
Pharmaceutical Research Foundation,1
Molecular Biomedicine,0
Social Inquiry into Well-Being,0
Journal of L.M. Montgomery Studies,0
The Criterion: An International Journal in English,1
DoisPontos,0
sui-generis,0
International Research Journals,1
International Journal of Naval Architecture and Ocean Engineering,0
Clinical Management Issues,0
Palliative Medicine in Practice,0
PaperSciences Research Publisher,1
Journal of Multidisciplinary Engineering Science and Technology,1
Revista Gearte,0
St. Anne Mary Publication,1
"International Journal of Civil, Mechanical and Energy Science",1
Revue Internationale de Pédagogie de l’Enseignement Supérieur,0
Main Group Metal Chemistry,0
Academic Direct Publishing House,1
Ahmar Metastasis Health Journal,0
Вестник антропологии,0
Contemporary Sociological Global Review,1
Rivista di Storia dell'Università di Torino,0
Iraqi Journal of Chemical and Petroleum Engineering,0
Acta Kinesiologica,1
Bioscience Research & Educational Institute [Link dead as of 2012-11-14],1
Eurasian Union of Scientists,1
"Journal of Agriculture, Forestry & Environmental Sciences",1
Innovative Space of Scientific Research,1
RG Education Society,1
International Journal of Pharmaceutical Quality Assurance and Pharmaceutical Analysis,1
Translational Medicine and Biotechnology,1
American Journal of Advanced Drug Delivery,1
"International Journal of Management, Economics and Social Sciences",1
Atmospheric Chemistry and Physics,0
Journal of Electrical Engineering and Science,1
Growing Science Publishing Company,1
MediaTor,0
Science and Technology Central,1
International Journal of Review in Life Sciences,1
SEISENSE Business Review,0
International Journal of Medical Sciences and Health Care,1
Evidence-Based Nursing Research,0
Volupté,0
Turkish Archives of Otorhinolaryngology,0
Key Research Journals,1
Streem Journal,1
