Titre,Est_Predateur,oa_works,oa_cited,oa_found,cr_has_doi,Publisher,Impact_Ratio
Studia Paradyskie,0,44,28,1,1,University of Szczecin,0.6222222222222222
Organogenesis,0,424,18106,1,1,Springer New York,42.60235294117647
International Journal of Advanced Research in Engineering & Management,1,0,0,0,1,International Journal of Medical Science and Health Research,0.0
Innovations in Pharmaceuticals and Pharmacotherapy,1,3,4,1,1,SPER Publications and Solutions Pvt. Ltd,1.0
MGM Journal of Medical Sciences,0,854,779,1,1,Medknow,0.9111111111111111
Oceanological and Hydrobiological Studies,0,1036,8174,1,1,Uniwersytet Gdanski,7.882352941176471
SmatPub,1,0,0,0,0,Unknown,0.0
Aging Medicine and Healthcare,0,241,571,1,1,Full Universe Integrated Marketing Ltd,2.3595041322314048
Conci,0,138,328,1,1,Convergencias em Ciencia da Informacao,2.3597122302158273
International Journal of New Innovations in Engineering and Technology,1,0,0,0,1,Dama Academic Scholarly & Scientific Research Society,0.0
International Journal of New Technologies in Science and Engineering,1,0,0,0,1,Maikop State Technological University,0.0
Medwell Journals,1,0,0,0,1,Oxford University Press,0.0
Infectious Diseases and Therapy,0,1243,23690,1,1,Springer Science and Business Media LLC,19.043408360128616
TAF Publishing,1,0,0,0,1,ScopeMed,0.0
International Journal of Advanced Research in Science and Technology,1,9725,6980,1,1,Pearl Media Publications Pvt Ltd,0.7176639934196998
Vernon Innovative Publishers,1,0,0,0,1,Northcote House Publishers Ltd,0.0
Cuadernos del Hipogrifo,0,0,0,0,1,Universidad Nacional de Rosario,0.0
Scholar Journals [Link dead as of 2013-04-20],1,0,0,0,1,Poltekkes Kemenkes Semarang,0.0
International Journal of Engineering Research & Management,1,1267,3354,1,1,Canadian Center of Science and Education,2.645110410094637
Kriminologie - Das Online-Journal,0,0,0,0,1,Nomos Verlagsgesellschaft mbH & Co. KG,0.0
Vegetation Ecology and Diversity,0,10,8,1,1,Pensoft Publishers,0.7272727272727273
Universal Research Publications,1,0,0,0,1,DE GRUYTER SAUR,0.0
Academic and Scientific Publishing,1,771,348,1,1,Channel View Publications,0.45077720207253885
